Name;Type;Icon 1;Icon 2;Icon 3;Play Effect;Passive Effect;Exhaust Effect;Solstice Effect;VP;Player Count;Set
Standing Army;Uncivilised;;Pinned;;;Passive: when another player plays an Attack, ignore the effects unless they give you 1 Progress.;;;1;4;Classics
Jade Mask;Uncivilised;;;Mask;Draw up to 3 cards if able. Then return a card to the top of your deck.;;;;1 if in history;2;Classics
Elders;Uncivilised;;;;Choose: acquire Uncivilised OR break through for Civilised and all other players gain 1 Progress.;;;;1;2;Classics
Town;Uncivilised;Barbarian;Pinned;;;;Exhaust: all players MAY gain 2 Materials.;Solstice: you MAY gain 2 Progress. If you do, choose: abandon this card OR put it into your history.;2 if in history;2;Classics
Town;Uncivilised;Barbarian;Pinned;;;;"Exhaust: all players MAY gain 2 Materials. ";Solstice: you MAY gain 2 Progress. If you do, choose: abandon this card OR put it into your history.;2 if in history;2;Classics
Shrine;Uncivilised;Barbarian;Pinned;;;;Exhaust: pay 1 Materials to draw a card.;Solstice: you MAY discard a card to return an Unrest from your discard pile.;1;2;Classics
Invasion;Uncivilised;;Attack;;Pay 3 Materials. All other players take Unrest. Choose: break through for Tributary OR break through for Region and each other player recalls a Region.;;;;1;2;Classics
Musticism;Uncivilised;;Pinned;;;;Exhaust: gain 1 action. Solstice: choose: take Unrest OR discard 2 cards.;;1;2;Classics
Oracle;Uncivilised;Barbarian;;;Free play. Draw 2 cards and discard one of them.;;;;2 per Fame card;2;Classics
Agriculture;Uncivilised;;Pinned;;;;Exhaust: treat 1 Grain as 3 Trade for the rest of the turn.;;2 per Grain;2;Classics
Boats;Uncivilised;;Pinned;;;;Exhaust: choose: recall a Water to gain 2 Materials and 1 Pop OR recall a Grain to gain 1 action.;;1 per Grain/Water;2;Classics
Leadership;Uncivilised/Civilised;;;;Free play. Choose: draw a card OR put a card from your hand or discard pile into your history.;;;;1;1;Classics
Shaduf;Uncivilised;;Pinned;;;;Exhaust: when you gain Materials from a Water in play, exhaust this card to gain 1 Progress.;;2 per Water;2;Classics
Lost Scroll;Uncivilised/Civilised;;;;Free play. You MAY return a card from your discard pile to the top of your deck. All players MAY draw a card.;;;;1 if in history;3;Classics
Rituals & Ceremonies;Uncivilised;Barbarian;;;Free play. Choose: return an Unrest OR gain 1 Progress and you MAY return an Exhausted to your state card.;;;;1;3;Classics
Ambassador;Uncivilised/Civilised;;;;;;Exhaust: resolve the exhaust keyword on an opponent's Pinned card as though it were your own.;;1;3;Classics
City;Uncivilised/Civilised;;Pinned;City;;;;Solstice: you MAY discard a card to choose: gain 1 Pop OR gain 1 Materials OR draw a card.;1;2;Classics
City;Uncivilised/Civilised;;Pinned;City;;;;Solstice: you MAY discard a card to choose: gain 1 Pop OR gain 1 Materials OR draw a card.;1;2;Classics
City;Uncivilised/Civilised;;Pinned;City;;;;Solstice: you MAY discard a card to choose: gain 1 Pop OR gain 1 Materials OR draw a card.;1;2;Classics
Gambling;Uncivilised/Civilised;;;;Free play. Pay 1 Materials and declare one of the following: Uncivilised, Civilised, Region or Tributary. Reveal the top card of the main deck. If it matches the declared type, add it to your hand. Otherwise, exile it.;;;;1;2;Classics
Port;Uncivilised/Civilised;;Pinned;;;;Exhaust: gain 1 Materials per Water in your play area. You MAY pay 3 Materials to draw a card of your choice from your discard pile.;;1;2;Classics
Diplomacy;Uncivilised/Civilised;;;;Pay 3 Materials to break through for Tributary.;;;;1;2;Classics
Wilderness;Region;;Pinned;;Exile a card from the Market. You MAY garrison a card. Passive: you MAY recall this card to avoid the effect of an Attack.;;;;1;3;Classics
Jungle;Region;;Pinned;;Gain 1 Pop. Exile a card from the market. You MAY garrison a card.;;;;1;2;Classics
Mountain;Region;;Pinned;;Gain 3 Materials. Exile a card from the market. You MAY garrison a card.;;;;1;2;Classics
